t_sr,t_stdp,t_stdp_asymm,a_stdp_asymm,f,k,fr,R_w,R_nw,SNR_w,SNR_nw
5.0,0.025,1.75,-0.75,0.55,0.8,3,0.09455,0.03898,0.80589,0.76018
3.0,0.03,1.75,-0.85,0.55,0.8,3,0.05835,0.0216,0.82155,0.67892
3.0,0.02,2.0,-0.75,0.55,0.8,3,0.08461,0.03299,0.82024,0.87131
4.0,0.025,2.0,-0.8,0.55,0.8,3,0.07928,0.04192,0.74796,0.81737
3.0,0.02,1.5,-0.75,0.55,0.8,3,0.07439,0.05022,0.77077,0.84349
4.0,0.03,2.0,-0.85,0.55,0.8,3,0.04166,0.03253,0.66432,0.61523
3.0,0.025,2.0,-0.8,0.55,0.8,3,0.07822,0.02232,0.9458,0.78512
4.0,0.03,1.5,-0.85,0.55,0.8,3,0.05009,0.02491,0.69676,0.62978
5.0,0.03,2.0,-0.8,0.55,0.8,3,0.07939,0.03401,0.96928,0.71776
3.0,0.02,1.75,-0.8,0.55,0.8,3,0.05933,0.01822,0.7088,0.70978
5.0,0.03,1.75,-0.75,0.55,0.8,3,0.07301,0.04397,0.77014,0.75129
5.0,0.03,1.5,-0.8,0.55,0.8,3,0.06848,0.03629,0.74147,0.76085
4.0,0.03,2.0,-0.75,0.55,0.8,3,0.06977,0.06108,0.90152,0.77053
4.0,0.02,1.75,-0.75,0.55,0.8,3,0.0785,0.03867,0.90382,0.82793
3.0,0.02,2.0,-0.8,0.55,0.8,3,0.06878,0.02448,0.90607,0.80425
3.0,0.03,1.5,-0.85,0.55,0.8,3,0.04571,0.02529,0.8594,0.64537
5.0,0.02,2.0,-0.85,0.55,0.8,3,0.03034,0.01283,0.7894,0.67957
5.0,0.02,1.5,-0.8,0.55,0.8,3,0.05733,0.02061,0.82941,0.70464
4.0,0.02,1.75,-0.85,0.55,0.8,3,0.05312,0.01745,0.80782,0.67087
5.0,0.03,1.5,-0.75,0.55,0.8,3,0.0643,0.05888,0.9555,0.86184
3.0,0.025,1.75,-0.75,0.55,0.8,3,0.08922,0.03909,1.11091,0.74079
4.0,0.025,2.0,-0.85,0.55,0.8,3,0.04254,0.01847,0.77534,0.90565
4.0,0.03,1.5,-0.75,0.55,0.8,3,0.12344,0.05798,1.00388,0.84087
5.0,0.02,2.0,-0.75,0.55,0.8,3,0.04598,0.03804,0.98099,0.72163
