t_sr,t_stdp,t_stdp_asymm,a_stdp_asymm,f,k,R_10_w,R_10_nw,SNR_10_w,SNR_10_nw,R_60_w,R_60_nw,SNR_60_w,SNR_60_nw
4.0,0.03,1.5,-0.45,0.6,1.5,0.79816,0.67205,17.25799,9.15471,0.85204,0.75799,45.08842,21.43578
5.0,0.03,2.0,-0.45,0.8,1.5,0.47309,0.29141,20.10098,3.12971,0.49815,0.66122,48.08517,7.32255
4.0,0.02,2.0,-0.4,0.8,1.0,0.68304,0.42705,12.16164,4.83307,0.76517,0.6962,29.97645,11.56846
4.0,0.02,2.5,-0.5,0.8,1.5,0.05264,0.43985,18.82542,5.5801,0.05461,0.62427,44.84797,14.12164
4.0,0.02,2.0,-0.5,0.8,1.0,0.27182,0.00066,11.68086,1.15555,0.32164,0.00617,26.34306,1.86176
4.0,0.02,2.5,-0.5,0.8,1.0,0.00097,0.42606,9.74989,5.21025,0.00064,0.61552,26.35049,13.70336
5.0,0.02,2.0,-0.4,0.8,0.5,0.60434,0.4669,6.74833,4.80056,0.83021,0.66038,14.60523,11.48594
5.0,0.03,1.5,-0.5,0.8,1.0,0.74474,0.59115,11.59783,7.27168,0.82471,0.71832,28.72287,17.11578
4.0,0.02,2.5,-0.45,0.8,0.5,0.04594,0.21238,3.91046,3.8301,0.06186,0.46812,9.13885,8.31439
5.0,0.02,1.5,-0.4,0.8,1.5,0.77121,0.61479,20.22226,9.85203,0.80157,0.69522,49.73257,23.3783
5.0,0.03,2.0,-0.45,0.6,1.0,0.58562,0.2703,9.4986,2.70833,0.71133,0.64253,24.00229,7.30255
4.0,0.03,1.5,-0.45,0.6,1.0,0.85978,0.66964,12.19864,9.16762,0.93422,0.75771,31.59242,22.0231
4.0,0.03,2.5,-0.5,0.6,1.5,0.02054,0.49674,14.86605,6.55499,0.02278,0.59555,37.80308,16.28214
4.0,0.02,1.5,-0.4,0.6,1.5,0.84942,0.64044,18.31348,8.6749,0.88827,0.73832,45.47346,21.87352
5.0,0.02,2.5,-0.4,0.8,1.0,0.29998,0.0048,10.60952,1.16958,0.387,0.00924,26.67014,2.34776
4.0,0.03,2.5,-0.45,0.8,1.0,0.01447,0.22813,10.35084,3.97666,0.02046,0.46096,26.88773,8.92826
5.0,0.03,2.0,-0.4,0.8,1.0,0.72687,0.53288,12.5025,5.82994,0.80312,0.71883,30.15378,14.20824
4.0,0.03,2.5,-0.45,0.6,0.5,0.07371,0.27289,4.18564,3.77501,0.1203,0.47807,9.95527,9.63014
5.0,0.02,2.5,-0.45,0.6,1.5,0.2713,0.19938,14.54335,3.52588,0.29712,0.4417,37.4147,8.00483
5.0,0.03,2.5,-0.45,0.8,1.0,0.02236,0.22819,9.64508,3.69628,0.0301,0.41039,25.34623,9.35645
5.0,0.03,1.5,-0.4,0.6,1.0,0.87315,0.66339,15.15623,11.45838,0.92595,0.71719,36.21553,26.43156
4.0,0.02,2.5,-0.45,0.6,1.5,0.23807,0.22366,15.19001,3.02347,0.26575,0.4882,39.17523,8.38102
5.0,0.03,2.5,-0.45,0.6,0.5,0.04318,0.25273,4.07125,3.79923,0.09432,0.41383,10.07071,9.00092
4.0,0.03,1.5,-0.4,0.8,0.5,0.7914,0.68348,12.70117,11.48265,0.84475,0.75427,29.56815,27.66741
4.0,0.03,2.5,-0.4,0.8,0.5,0.09707,0.00485,4.40061,1.469,0.23276,0.03426,9.73523,2.8677
5.0,0.02,1.5,-0.45,0.6,1.5,0.78938,0.58585,16.58284,7.55937,0.84316,0.69008,42.63786,17.68616
4.0,0.02,1.5,-0.45,0.6,0.5,0.73016,0.60627,8.19188,7.68211,0.86773,0.72249,20.52202,18.452
4.0,0.02,2.5,-0.45,0.6,0.5,0.019,0.20511,4.02006,3.07979,0.05374,0.46319,8.15169,7.89161
4.0,0.03,2.0,-0.45,0.6,0.5,0.48146,0.2689,4.7348,3.53151,0.80399,0.63369,10.32244,7.40766
5.0,0.03,2.0,-0.45,0.6,1.5,0.56189,0.29253,15.20081,3.22244,0.60678,0.65824,41.88185,7.04423
4.0,0.03,2.5,-0.45,0.6,1.5,0.15325,0.22803,16.06069,3.88591,0.16494,0.45848,38.51454,9.22454
4.0,0.02,2.0,-0.5,0.8,0.5,0.08843,0.00021,4.20498,1.27009,0.21309,0.00196,8.80012,2.02473
4.0,0.03,1.5,-0.4,0.8,1.0,0.83999,0.68133,15.89506,11.43856,0.89864,0.75008,37.57775,27.06367
4.0,0.03,2.5,-0.4,0.8,1.5,0.28557,0.00468,18.97883,1.36281,0.3093,0.03506,46.18647,2.82128
4.0,0.02,2.0,-0.4,0.8,0.5,0.62743,0.47934,6.08092,4.61084,0.85476,0.70327,14.23906,11.39716
5.0,0.02,2.0,-0.45,0.6,1.0,0.58439,0.18455,9.78658,2.22313,0.7149,0.52741,24.38208,5.97132
5.0,0.03,1.5,-0.45,0.6,1.5,0.815,0.63446,16.42578,9.54451,0.86292,0.71343,42.35577,22.28081
