t_sr,t_stdp_plus,t_stdp_minus,a_stdp,f,k,fr,R_w,R_nw,SNR_w,SNR_nw,skew_w,skew_nw,skew_m,peak_w,peak_nw,peak_m
4.0,0.1,0.035,-1.0,0.5,1.0,1,0.77473,0.68974,4.96484,5.0393,0.1862,1e-05,-0.48266,-0.15,0.05,-0.15
4.0,0.01,0.045,-0.6,0.5,1.0,1,0.343,0.56116,2.92036,3.20815,-0.40306,0.09511,-0.48038,0.15,-0.05,-0.15
4.0,0.03,0.01,-0.4,0.5,1.0,1,0.73386,0.64219,4.16618,4.01895,0.16015,0.0,-0.48178,0.05,0.05,-0.15
4.0,0.05,0.035,-1.0,0.5,1.0,1,0.45902,0.35054,1.93936,1.7945,0.13115,0.0,-0.48452,-0.25,0.05,-0.15
4.0,0.025,0.05,-0.6,0.5,1.0,1,0.0006,0.09509,1.87404,0.9765,0.18927,0.44092,-0.47919,0.65,-0.25,-0.15
4.0,0.025,0.045,-0.5,0.5,1.0,1,0.22541,0.05098,1.48507,0.55739,-0.15123,-0.82981,-0.48262,-0.35,0.25,-0.15
4.0,0.1,0.01,-0.2,0.5,1.0,1,0.7684,0.72773,8.02018,7.68934,0.07013,0.0039,-0.48286,-0.05,0.05,-0.15
4.0,0.1,0.045,-0.4,0.5,1.0,1,0.77972,0.72985,6.94204,6.44914,0.14767,0.0127,-0.48237,-0.05,-0.05,-0.15
4.0,0.05,0.03,-0.8,0.5,1.0,1,0.68312,0.54813,3.02027,2.78476,0.17596,0.04069,-0.48353,-0.25,-0.05,-0.15
4.0,0.05,0.03,-0.5,0.5,1.0,1,0.75498,0.63698,4.30418,4.23686,0.16036,0.02507,-0.48288,-0.05,0.15,-0.15
4.0,0.1,0.02,-0.3,0.5,1.0,1,0.7696,0.72452,7.46456,7.09627,0.08002,-0.00954,-0.47896,-0.05,-0.05,-0.15
4.0,0.025,0.04,-0.3,0.5,1.0,1,0.65924,0.48959,2.60561,2.54183,0.1912,0.00197,-0.48244,-0.35,-0.15,-0.15
4.0,0.025,0.04,-0.8,0.5,1.0,1,0.01687,0.15204,1.64767,1.22148,0.15136,0.05236,-0.48407,0.35,0.35,-0.15
4.0,0.03,0.05,-0.4,0.5,1.0,1,0.5222,0.35405,1.9523,1.77437,0.03885,0.16475,-0.48187,-0.25,0.15,-0.15
4.0,0.01,0.035,-0.5,0.5,1.0,1,0.09069,0.34641,1.74179,1.93715,-0.41612,0.07539,-0.48112,0.45,0.15,-0.15
4.0,0.03,0.02,-1.0,0.5,1.0,1,0.38543,0.30674,1.79328,1.58423,0.06691,0.07235,-0.47983,-0.25,0.25,-0.15
4.0,0.1,0.03,-0.6,0.5,1.0,1,0.76887,0.72032,6.70709,6.42014,0.07666,-0.00298,-0.4822,-0.05,0.05,-0.15
4.0,0.1,0.01,-0.5,0.5,1.0,1,0.76171,0.72959,7.45761,8.22104,0.04237,0.0,-0.48191,-0.05,0.05,-0.15
4.0,0.05,0.02,-0.6,0.5,1.0,1,0.75835,0.67434,4.65618,4.56222,0.23377,0.02411,-0.48179,-0.15,0.05,-0.15
4.0,0.1,0.03,-1.0,0.5,1.0,1,0.76598,0.6967,5.28565,5.28817,0.11122,0.02071,-0.4824,-0.15,0.05,-0.15
4.0,0.04,0.04,-1.0,0.5,1.0,1,0.04782,0.00036,1.40656,0.39782,0.97333,nan,-0.4838,-0.65,-0.05,-0.15
4.0,0.04,0.045,-0.3,0.5,1.0,1,0.75306,0.59672,4.04824,3.7664,0.19044,-0.01429,-0.48231,-0.05,0.05,-0.15
4.0,0.025,0.01,-1.0,0.5,1.0,1,0.58218,0.50659,2.45143,2.51017,0.26609,0.04074,-0.4865,-0.05,0.05,-0.15
4.0,0.025,0.1,-1.0,0.5,1.0,1,0.56304,0.66042,5.21356,5.78098,-0.08757,0.00122,-0.48079,0.25,0.05,-0.15
4.0,0.025,0.045,-0.2,0.5,1.0,1,0.70894,0.55298,3.37405,2.86591,0.19565,0.0148,-0.48133,-0.15,0.15,-0.15
4.0,0.05,0.045,-0.3,0.5,1.0,1,0.75341,0.65767,4.46285,4.0779,0.19725,0.00739,-0.48324,-0.05,0.05,-0.15
4.0,0.04,0.01,-0.3,0.5,1.0,1,0.74409,0.66552,4.95178,4.98169,0.0833,0.0,-0.48603,0.05,0.05,-0.15
4.0,0.025,0.01,-0.6,0.5,1.0,1,0.70456,0.59669,3.46304,3.58119,0.24166,0.02707,-0.484,-0.15,0.05,-0.15
4.0,0.05,0.03,-0.6,0.5,1.0,1,0.73692,0.64666,3.6047,3.84939,0.19376,0.067,-0.47995,-0.15,-0.15,-0.15
4.0,0.05,0.03,-0.3,0.5,1.0,1,0.77031,0.67236,5.59481,4.97029,0.2239,0.0,-0.48339,-0.15,0.05,-0.15
4.0,0.1,0.04,-0.4,0.5,1.0,1,0.77028,0.71516,7.12369,6.50065,0.11193,-0.00295,-0.48233,0.05,0.05,-0.15
4.0,0.1,0.045,-0.2,0.5,1.0,1,0.76525,0.72325,6.94152,7.31536,0.10658,-0.02944,-0.47906,-0.15,-0.05,-0.15
4.0,0.03,0.02,-0.4,0.5,1.0,1,0.73052,0.6124,3.67425,3.70296,0.26206,0.00063,-0.47966,-0.15,0.05,-0.15
4.0,0.02,0.05,-0.4,0.5,1.0,1,0.13542,0.00062,1.53096,0.60853,-0.65185,-0.0,-0.48052,-0.35,-0.35,-0.15
4.0,0.1,0.045,-0.5,0.5,1.0,1,0.78043,0.73578,6.17096,6.64059,0.11936,0.03971,-0.48272,-0.05,0.05,-0.15
4.0,0.04,0.02,-0.5,0.5,1.0,1,0.74403,0.63309,4.04423,4.17614,0.20281,0.03173,-0.48386,0.05,0.05,-0.15
4.0,0.01,0.03,-0.6,0.5,1.0,1,0.09314,0.37466,1.63647,1.87119,-0.30557,0.00759,-0.48274,0.55,-0.25,-0.15
4.0,0.1,0.05,-0.8,0.5,1.0,1,0.77032,0.69742,4.62032,5.18568,0.22434,-0.02154,-0.48018,-0.05,0.15,-0.15
4.0,0.03,0.1,-0.4,0.5,1.0,1,0.03849,0.26119,1.65086,1.4617,0.19964,0.06619,-0.48289,0.45,-0.05,-0.15
4.0,0.1,0.02,-0.6,0.5,1.0,1,0.7727,0.71943,6.69633,6.885,0.05954,0.00144,-0.48342,0.05,0.05,-0.15
4.0,0.04,0.03,-0.2,0.5,1.0,1,0.75552,0.67605,4.68919,4.95947,0.14317,0.0,-0.47947,0.05,0.05,-0.15
4.0,0.05,0.04,-0.4,0.5,1.0,1,0.75239,0.6713,4.43429,4.0638,0.27026,0.05017,-0.47772,-0.25,-0.05,-0.15
