kappa,tau_stdp,tau_sr,asymm,frac,R2,skill,area,L2
0.01,0.02,5.0,0.9,0.5,0.78809,-2.43229,0.42667,0.3789
0.5,0.02,4.0,0.95,0.6,0.81135,-2.37365,0.39206,0.3807
0.05,0.03,5.0,0.99,0.7,0.71318,-3.84049,0.53232,0.53431
0.5,0.025,5.0,0.95,0.7,0.80354,-2.66653,0.42578,0.40482
0.5,0.02,5.0,0.99,0.6,0.36907,-7.06208,0.78368,0.89002
1.0,0.03,5.0,0.95,0.7,0.52166,-5.10962,0.6398,0.67447
1.0,0.025,3.0,0.95,0.6,0.5036,-4.81317,0.60584,0.67245
0.5,0.03,3.0,0.9,0.6,0.94488,-0.70971,0.21812,0.19773
1.0,0.03,5.0,0.99,0.6,0.28082,-8.02619,0.86518,0.99643
0.01,0.02,5.0,0.9,0.7,0.79541,-2.34719,0.42078,0.36948
1.0,0.02,3.0,0.99,0.7,0.16357,-8.64614,0.99257,1.11533
0.01,0.025,5.0,0.95,0.7,0.91468,-1.06654,0.26894,0.22807
0.5,0.03,5.0,0.99,0.7,0.3715,-7.07703,0.76589,0.89183
0.5,0.03,4.0,0.9,0.6,0.94692,-0.65248,0.21622,0.18646
1.0,0.025,5.0,0.99,0.6,0.27474,-8.28147,0.89901,1.02474
0.1,0.025,4.0,0.95,0.5,0.94814,-0.64329,0.20153,0.18543
1.0,0.02,5.0,0.95,0.6,0.53178,-5.09982,0.63851,0.67346
0.01,0.03,3.0,0.9,0.6,0.89415,-1.62925,0.28679,0.30413
0.01,0.03,5.0,0.99,0.7,0.72326,-3.738,0.53855,0.52295
0.5,0.03,3.0,0.99,0.5,0.34667,-7.06221,0.8489,0.93281
0.05,0.02,3.0,0.9,0.7,0.86007,-2.02506,0.33609,0.34991
0.5,0.025,5.0,0.99,0.5,0.4212,-6.80212,0.71565,0.8613
0.01,0.02,3.0,0.99,0.6,0.75594,-2.78885,0.48699,0.4384
0.05,0.025,3.0,0.9,0.5,0.88014,-1.73547,0.30453,0.31643
0.05,0.02,4.0,0.95,0.7,0.90724,-1.19049,0.27517,0.24717
0.05,0.03,4.0,0.95,0.7,0.94735,-0.67622,0.1933,0.18913
0.5,0.025,5.0,0.99,0.6,0.38189,-7.20061,0.77992,0.90517
0.5,0.025,3.0,0.9,0.7,0.9203,-1.03839,0.25562,0.23585
0.5,0.03,4.0,0.95,0.6,0.85176,-2.00153,0.32616,0.33868
0.05,0.03,4.0,0.9,0.7,0.86888,-1.74737,0.32784,0.31004
0.5,0.025,4.0,0.9,0.5,0.95353,-0.53856,0.19626,0.17362
0.01,0.025,3.0,0.9,0.5,0.87369,-1.81329,0.31278,0.3253
0.1,0.025,4.0,0.9,0.7,0.85809,-1.82961,0.33955,0.31939
0.1,0.02,4.0,0.95,0.7,0.906,-1.24888,0.30828,0.25387
0.01,0.02,4.0,0.95,0.6,0.91266,-1.13149,0.26606,0.24063
0.1,0.02,4.0,0.9,0.6,0.84446,-1.91955,0.35681,0.32947
0.01,0.02,5.0,0.95,0.6,0.88953,-1.36836,0.29825,0.26142
0.5,0.02,4.0,0.95,0.7,0.7536,-2.9335,0.43633,0.44395
0.1,0.03,5.0,0.99,0.6,0.71351,-3.93763,0.5612,0.54512
0.5,0.025,3.0,0.9,0.5,0.95307,-0.61265,0.20989,0.18652
0.01,0.03,3.0,0.9,0.7,0.89788,-1.61387,0.29142,0.3023
1.0,0.02,5.0,0.9,0.5,0.85279,-2.21104,0.3896,0.35455
0.05,0.03,5.0,0.95,0.6,0.93014,-0.90396,0.23194,0.21016
0.1,0.03,3.0,0.9,0.5,0.89684,-1.65757,0.30266,0.30745
0.1,0.025,3.0,0.99,0.6,0.63588,-3.93141,0.60407,0.5705
0.5,0.025,4.0,0.95,0.5,0.88905,-1.53137,0.29149,0.2857
0.1,0.03,5.0,0.9,0.7,0.85732,-1.76541,0.3475,0.3052
0.5,0.03,4.0,0.9,0.7,0.92974,-0.91502,0.25864,0.21617
0.05,0.025,4.0,0.99,0.5,0.73389,-3.3092,0.50593,0.48647
1.0,0.02,3.0,0.99,0.5,0.22836,-7.95857,0.89534,1.03641
0.5,0.03,4.0,0.95,0.5,0.8821,-1.59901,0.29631,0.29331
0.5,0.025,4.0,0.95,0.6,0.82892,-2.24983,0.36179,0.36672
0.1,0.02,5.0,0.99,0.6,0.79615,-2.92138,0.40291,0.43288
0.01,0.02,5.0,0.95,0.5,0.86828,-1.64614,0.33384,0.29202
0.05,0.03,5.0,0.99,0.5,0.73078,-3.75588,0.5508,0.525
0.5,0.03,5.0,0.95,0.5,0.90558,-1.54328,0.28338,0.28077
0.1,0.02,3.0,0.9,0.7,0.87912,-1.70765,0.3002,0.3132
0.5,0.03,3.0,0.9,0.5,0.95883,-0.54696,0.20109,0.17889
0.1,0.02,5.0,0.9,0.7,0.8112,-2.16049,0.40259,0.34892
0.01,0.025,5.0,0.9,0.7,0.8237,-2.07133,0.38676,0.33913
0.01,0.02,3.0,0.9,0.7,0.85672,-1.84006,0.33155,0.32845
0.01,0.03,4.0,0.99,0.5,0.70808,-3.62087,0.56462,0.52164
0.5,0.03,4.0,0.95,0.7,0.81729,-2.33566,0.38033,0.37645
0.5,0.02,4.0,0.9,0.6,0.93442,-0.8714,0.25429,0.21117
0.5,0.025,3.0,0.99,0.7,0.28065,-7.23421,0.80749,0.9524
1.0,0.025,5.0,0.95,0.5,0.6756,-3.95023,0.51791,0.5464
0.5,0.02,5.0,0.95,0.7,0.74282,-3.24702,0.48133,0.46868
0.05,0.03,4.0,0.9,0.5,0.86623,-1.83218,0.33141,0.31977
0.01,0.025,5.0,0.9,0.6,0.81624,-2.14754,0.39868,0.34745
1.0,0.02,3.0,0.95,0.6,0.46608,-5.12412,0.65442,0.70835
0.1,0.02,5.0,0.95,0.5,0.89051,-1.3458,0.30245,0.25894
0.1,0.025,4.0,0.9,0.6,0.8546,-1.86782,0.34764,0.32367
0.05,0.02,4.0,0.9,0.7,0.84257,-1.94461,0.35821,0.33239
0.1,0.02,3.0,0.9,0.5,0.87675,-1.85342,0.30998,0.3299
0.1,0.02,4.0,0.99,0.7,0.72389,-3.38901,0.45065,0.49546
0.01,0.03,4.0,0.99,0.7,0.65608,-4.06866,0.56292,0.57197
0.05,0.02,5.0,0.99,0.7,0.84878,-2.2931,0.39318,0.36347
1.0,0.03,3.0,0.95,0.6,0.55232,-4.44646,0.5591,0.62999
0.05,0.03,4.0,0.95,0.5,0.94681,-0.69547,0.20156,0.19134
1.0,0.02,5.0,0.9,0.6,0.76474,-2.99067,0.47041,0.44037
0.5,0.025,3.0,0.9,0.6,0.9411,-0.78502,0.2222,0.20651
0.05,0.03,5.0,0.95,0.7,0.93761,-0.77634,0.22205,0.19604
0.05,0.02,4.0,0.95,0.6,0.88601,-1.50008,0.29101,0.28219
0.1,0.02,5.0,0.99,0.5,0.80202,-2.88657,0.44706,0.42905
1.0,0.03,3.0,0.95,0.5,0.62324,-3.91326,0.50338,0.56835
1.0,0.02,5.0,0.95,0.7,0.43113,-5.82943,0.73051,0.75374
0.01,0.03,5.0,0.99,0.6,0.72648,-3.75246,0.53663,0.52475
1.0,0.025,3.0,0.95,0.7,0.43062,-5.38873,0.68068,0.7392
0.1,0.02,5.0,0.9,0.5,0.80868,-2.21429,0.4058,0.35486
0.5,0.025,5.0,0.95,0.6,0.85293,-2.17139,0.36216,0.35017
0.1,0.03,4.0,0.9,0.6,0.87359,-1.67787,0.31671,0.3023
0.01,0.03,3.0,0.99,0.7,0.63605,-3.98513,0.64913,0.57659
0.1,0.02,3.0,0.95,0.7,0.93639,-0.99428,0.23631,0.23061
1.0,0.02,4.0,0.99,0.5,0.27226,-8.02817,0.87189,1.01905
0.05,0.025,5.0,0.99,0.7,0.77885,-3.12915,0.47662,0.45586
0.5,0.02,3.0,0.95,0.5,0.82763,-2.06349,0.35384,0.35434
1.0,0.025,4.0,0.99,0.6,0.23864,-8.30881,0.90312,1.05058
1.0,0.02,4.0,0.99,0.7,0.1842,-8.3967,0.96111,1.06058
1.0,0.03,5.0,0.99,0.5,0.33061,-7.94464,0.82953,0.98757
0.5,0.025,4.0,0.9,0.7,0.91801,-1.13448,0.28368,0.24093
0.05,0.025,4.0,0.95,0.5,0.93101,-0.95305,0.22198,0.22049
